,count,mean,std,min,25%,50%,75%,max
Diabetes_binary,70692.0,0.5,0.5000035365055789,0.0,0.0,0.5,1.0,1.0
HighBP,70692.0,0.5634583828438862,0.4959601931599789,0.0,0.0,1.0,1.0,1.0
HighChol,70692.0,0.5257030498500538,0.49934244802639416,0.0,0.0,1.0,1.0,1.0
CholCheck,70692.0,0.975258869461891,0.15533624280418143,0.0,1.0,1.0,1.0,1.0
BMI,70692.0,29.856985231709388,7.113953851576949,12.0,25.0,29.0,33.0,98.0
Smoker,70692.0,0.4752730153341255,0.4993917341109147,0.0,0.0,0.0,1.0,1.0
Stroke,70692.0,0.0621711084705483,0.24146777536763647,0.0,0.0,0.0,0.0,1.0
HeartDiseaseorAttack,70692.0,0.1478102189781022,0.35491427136185877,0.0,0.0,0.0,0.0,1.0
PhysActivity,70692.0,0.7030357041815198,0.4569239063510019,0.0,0.0,1.0,1.0,1.0
Fruits,70692.0,0.611794828269111,0.4873451303658224,0.0,0.0,1.0,1.0,1.0
Veggies,70692.0,0.788773835794715,0.408181367327075,0.0,1.0,1.0,1.0,1.0
HvyAlcoholConsump,70692.0,0.04272053414813557,0.20222776421865302,0.0,0.0,0.0,0.0,1.0
AnyHealthcare,70692.0,0.9549595428054094,0.2073943655420178,0.0,1.0,1.0,1.0,1.0
NoDocbcCost,70692.0,0.09391444576472585,0.2917117179590571,0.0,0.0,0.0,0.0,1.0
GenHlth,70692.0,2.837081989475471,1.113564517039522,1.0,2.0,3.0,4.0,5.0
MentHlth,70692.0,3.7520370056017653,8.155626553605506,0.0,0.0,0.0,2.0,30.0
PhysHlth,70692.0,5.810417020313473,10.062260531164076,0.0,0.0,0.0,6.0,30.0
DiffWalk,70692.0,0.25273015334125504,0.43458059612316746,0.0,0.0,0.0,1.0,1.0
Sex,70692.0,0.4569965484071748,0.49815079394603295,0.0,0.0,0.0,1.0,1.0
Age,70692.0,8.584054772817291,2.8521531099515958,1.0,7.0,9.0,11.0,13.0
Education,70692.0,4.920952865953715,1.0290808004846095,1.0,4.0,5.0,6.0,6.0
Income,70692.0,5.698310982855203,2.1751959759181925,1.0,4.0,6.0,8.0,8.0
